N,   px,sex, vx,           po,seo, vo,   lomin, lomax, lxmin, lxmax
74400,.945,.16,22.2,1.0913,.0076,1.06,-6.43,3.998,-10640.804,6.973
74500,.944,.159,22.2,1.0912,.0076,1.06,-6.43,3.998,-10640.804,6.973
74600,.943,.159,22.2,1.0913,.0076,1.06,-6.43,3.998,-10640.804,6.973
74700,.942,.159,22.2,1.0912,.0076,1.06,-6.43,3.998,-10640.804,6.973
74800,.94,.159,22.1,1.0913,.0076,1.06,-6.43,3.998,-10640.804,6.973
74900,.939,.158,22.1,1.0913,.0076,1.06,-6.43,3.998,-10640.804,6.973
75e3,.938,.158,22.1,1.0911,.0076,1.06,-6.43,3.998,-10640.804,6.973
75100,.938,.158,22.1,1.091,.0076,1.06,-6.43,3.998,-10640.804,6.973
75200,.937,.158,22.1,1.0909,.0076,1.06,-6.43,3.998,-10640.804,6.973
75300,.935,.158,22.1,1.091,.0076,1.06,-6.43,3.998,-10640.804,6.973
75400,.935,.157,22.1,1.091,.0076,1.06,-6.43,3.998,-10640.804,6.973
75500,.934,.157,22,1.091,.0076,1.06,-6.43,3.998,-10640.804,6.973
75600,.932,.157,22,1.0909,.0075,1.06,-6.43,3.998,-10640.804,6.973
75700,.931,.157,22,1.0908,.0075,1.06,-6.43,3.998,-10640.804,6.973
75800,.93,.157,22,1.0907,.0075,1.06,-6.43,3.998,-10640.804,6.973
75900,.929,.156,22,1.0908,.0075,1.06,-6.43,3.998,-10640.804,6.973
76e3,.928,.156,22,1.0908,.0075,1.06,-6.43,3.998,-10640.804,6.973
76100,.927,.156,22,1.091,.0075,1.06,-6.43,3.998,-10640.804,6.973
76200,.928,.156,21.9,1.0913,.0075,1.06,-6.43,3.998,-10640.804,6.973
76300,.926,.156,21.9,1.0914,.0075,1.06,-6.43,3.998,-10640.804,6.973
76400,.926,.155,21.9,1.0914,.0075,1.06,-6.43,3.998,-10640.804,6.973
76500,.925,.155,21.9,1.0916,.0075,1.06,-6.43,3.998,-10640.804,6.973
76600,.923,.155,21.9,1.0914,.0075,1.06,-6.43,3.998,-10640.804,6.973
76700,.926,.155,21.9,1.0911,.0075,1.06,-6.43,3.998,-10640.804,6.973
76800,.925,.155,21.9,1.0911,.0075,1.06,-6.43,3.998,-10640.804,6.973
76900,.927,.155,21.9,1.091,.0075,1.06,-6.43,3.998,-10640.804,6.973
77e3,.926,.154,21.9,1.0912,.0075,1.06,-6.43,3.998,-10640.804,6.973
77100,.924,.154,21.9,1.0912,.0075,1.06,-6.43,3.998,-10640.804,6.973
77200,.923,.154,21.8,1.0914,.0075,1.06,-6.43,3.998,-10640.804,6.973
77300,.922,.154,21.8,1.0913,.0075,1.06,-6.43,3.998,-10640.804,6.973
77400,.921,.154,21.8,1.0915,.0075,1.06,-6.43,3.998,-10640.804,6.973
77500,.932,.155,22,1.0914,.0075,1.06,-6.43,3.998,-10640.804,6.973
77600,.93,.155,22,1.0914,.0075,1.06,-6.43,3.998,-10640.804,6.973
77700,.93,.155,22,1.0913,.0075,1.06,-6.43,3.998,-10640.804,6.973
77800,.929,.155,22,1.0912,.0075,1.06,-6.43,3.998,-10640.804,6.973
77900,.928,.154,22,1.0914,.0074,1.06,-6.43,3.998,-10640.804,6.973
78e3,.927,.154,22,1.0912,.0074,1.06,-6.43,3.998,-10640.804,6.973
78100,.926,.154,22,1.0911,.0074,1.06,-6.43,3.998,-10640.804,6.973
78200,.925,.154,21.9,1.0909,.0074,1.06,-6.43,3.998,-10640.804,6.973
78300,.927,.154,22,1.0909,.0074,1.06,-6.43,3.998,-10640.804,6.973
78400,.926,.154,21.9,1.0911,.0074,1.06,-6.43,3.998,-10640.804,6.973
78500,.928,.154,21.9,1.0907,.0074,1.06,-6.43,3.998,-10640.804,6.973
78600,.939,.155,22.2,1.0906,.0074,1.06,-6.43,3.998,-10640.804,6.973
78700,.949,.156,22.4,1.0905,.0074,1.06,-6.43,3.998,-10640.804,6.973
78800,.948,.156,22.4,1.0905,.0074,1.06,-6.43,3.998,-10640.804,6.973
78900,.946,.156,22.3,1.0907,.0074,1.06,-6.43,3.998,-10640.804,6.973
79e3,.945,.156,22.3,1.0907,.0074,1.06,-6.43,3.998,-10640.804,6.973
79100,.948,.156,22.3,1.0908,.0074,1.06,-6.43,3.998,-10640.804,6.973
79200,.947,.155,22.3,1.0907,.0074,1.06,-6.43,3.998,-10640.804,6.973
79300,.946,.155,22.3,1.0907,.0074,1.06,-6.43,3.998,-10640.804,6.973
79400,.945,.155,22.3,1.0904,.0074,1.06,-6.43,3.998,-10640.804,6.973
79500,.944,.155,22.3,1.0904,.0074,1.06,-6.43,3.998,-10640.804,6.973
79600,.949,.155,22.3,1.0905,.0073,1.06,-6.43,3.998,-10640.804,6.973
79700,.949,.155,22.3,1.0905,.0073,1.06,-6.43,3.998,-10640.804,6.973
79800,.947,.155,22.3,1.0906,.0073,1.06,-6.43,3.998,-10640.804,6.973
79900,.946,.155,22.3,1.0907,.0073,1.06,-6.43,3.998,-10640.804,6.973
8e4,.945,.154,22.3,1.0908,.0073,1.06,-6.43,3.998,-10640.804,6.973
80100,.948,.154,22.3,1.0907,.0073,1.06,-6.43,3.998,-10640.804,6.973
80200,.95,.154,22.3,1.091,.0073,1.06,-6.43,3.998,-10640.804,6.973
80300,.949,.154,22.3,1.0909,.0073,1.06,-6.43,3.998,-10640.804,6.973
80400,.95,.154,22.3,1.0909,.0073,1.06,-6.43,3.998,-10640.804,6.973
80500,.949,.154,22.3,1.0907,.0073,1.06,-6.43,3.998,-10640.804,6.973
80600,.948,.154,22.2,1.0906,.0073,1.06,-6.43,3.998,-10640.804,6.973
80700,.947,.153,22.2,1.0906,.0073,1.06,-6.43,3.998,-10640.804,6.973
80800,.946,.153,22.2,1.0904,.0073,1.06,-6.43,3.998,-10640.804,6.973
80900,.944,.153,22.2,1.0902,.0073,1.06,-6.43,3.998,-10640.804,6.973
81e3,.944,.153,22.2,1.0902,.0073,1.06,-6.43,3.998,-10640.804,6.973
81100,.958,.154,22.4,1.0903,.0073,1.06,-6.43,3.998,-10640.804,6.973
81200,.958,.154,22.4,1.0903,.0073,1.06,-6.43,3.998,-10640.804,6.973
81300,.957,.154,22.4,1.0902,.0073,1.06,-6.43,3.998,-10640.804,6.973
81400,.975,.156,22.7,1.0902,.0073,1.06,-6.43,3.998,-10640.804,6.973
81500,.973,.156,22.7,1.0907,.0074,1.07,-6.43,4.461,-10640.804,6.973
81600,.972,.155,22.6,1.0907,.0074,1.07,-6.43,4.461,-10640.804,6.973
81700,.971,.155,22.6,1.0908,.0074,1.07,-6.43,4.461,-10640.804,6.973
81800,.97,.155,22.6,1.0906,.0074,1.07,-6.43,4.461,-10640.804,6.973
81900,.969,.155,22.6,1.0907,.0074,1.07,-6.43,4.461,-10640.804,6.973
82e3,.968,.155,22.6,1.0905,.0073,1.07,-6.43,4.461,-10640.804,6.973
82100,.973,.155,22.6,1.0904,.0073,1.07,-6.43,4.461,-10640.804,6.973
82200,.971,.155,22.6,1.0904,.0073,1.07,-6.43,4.461,-10640.804,6.973
82300,.97,.154,22.6,1.0904,.0073,1.07,-6.43,4.461,-10640.804,6.973
82400,.969,.154,22.6,1.0904,.0073,1.07,-6.43,4.461,-10640.804,6.973
82500,.968,.154,22.6,1.0904,.0073,1.07,-6.43,4.461,-10640.804,6.973
82600,.967,.154,22.6,1.0905,.0073,1.07,-6.43,4.461,-10640.804,6.973
82700,.966,.154,22.6,1.0909,.0073,1.07,-6.43,4.461,-10640.804,6.973
82800,.964,.154,22.5,1.0909,.0073,1.07,-6.43,4.461,-10640.804,6.973
82900,.963,.153,22.5,1.0909,.0073,1.07,-6.43,4.461,-10640.804,6.973
83e3,.962,.153,22.5,1.0911,.0073,1.07,-6.43,4.461,-10640.804,6.973
83100,.963,.153,22.5,1.0912,.0073,1.07,-6.43,4.461,-10640.804,6.973
83200,.969,.153,22.6,1.0914,.0073,1.07,-6.43,4.461,-10640.804,6.973
83300,.968,.153,22.6,1.0915,.0073,1.07,-6.43,4.461,-10640.804,6.973
83400,.966,.153,22.5,1.0913,.0073,1.07,-6.43,4.461,-10640.804,6.973
83500,.965,.153,22.5,1.0912,.0073,1.07,-6.43,4.461,-10640.804,6.973
83600,.964,.153,22.5,1.0912,.0073,1.07,-6.43,4.461,-10640.804,6.973
83700,.963,.152,22.5,1.0912,.0073,1.07,-6.43,4.461,-10640.804,6.973
83800,.962,.152,22.5,1.0914,.0073,1.07,-6.43,4.461,-10640.804,6.973
83900,.961,.152,22.5,1.0914,.0073,1.07,-6.43,4.461,-10640.804,6.973
84e3,.96,.152,22.5,1.0913,.0073,1.07,-6.43,4.461,-10640.804,6.973
84100,.959,.152,22.5,1.0912,.0073,1.07,-6.43,4.461,-10640.804,6.973
84200,.958,.152,22.4,1.0911,.0072,1.07,-6.43,4.461,-10640.804,6.973
84300,.957,.151,22.4,1.0912,.0072,1.07,-6.43,4.461,-10640.804,6.973
84400,.956,.151,22.4,1.0911,.0072,1.07,-6.43,4.461,-10640.804,6.973
84500,.955,.151,22.4,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
84600,.954,.151,22.4,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
84700,.953,.151,22.4,1.0909,.0072,1.07,-6.43,4.461,-10640.804,6.973
84800,.953,.151,22.4,1.0911,.0072,1.07,-6.43,4.461,-10640.804,6.973
84900,.955,.15,22.4,1.0912,.0072,1.07,-6.43,4.461,-10640.804,6.973
85e3,.954,.15,22.4,1.0912,.0072,1.07,-6.43,4.461,-10640.804,6.973
85100,.953,.15,22.3,1.0912,.0072,1.07,-6.43,4.461,-10640.804,6.973
85200,.952,.15,22.3,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
85300,.951,.15,22.3,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
85400,.95,.15,22.3,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
85500,.949,.149,22.3,1.0911,.0072,1.07,-6.43,4.461,-10640.804,6.973
85600,.948,.149,22.3,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
85700,.946,.149,22.3,1.091,.0072,1.07,-6.43,4.461,-10640.804,6.973
85800,.945,.149,22.3,1.0907,.0072,1.07,-6.43,4.461,-10640.804,6.973
85900,.945,.149,22.2,1.0906,.0072,1.07,-6.43,4.461,-10640.804,6.973
86e3,.944,.149,22.2,1.0906,.0072,1.07,-6.43,4.461,-10640.804,6.973
86100,.944,.148,22.2,1.0905,.0071,1.07,-6.43,4.461,-10640.804,6.973
86200,.943,.148,22.2,1.0907,.0071,1.07,-6.43,4.461,-10640.804,6.973
86300,.943,.148,22.2,1.0908,.0071,1.07,-6.43,4.461,-10640.804,6.973
86400,.941,.148,22.2,1.0908,.0071,1.07,-6.43,4.461,-10640.804,6.973
86500,.94,.148,22.2,1.0909,.0071,1.07,-6.43,4.461,-10640.804,6.973
86600,.939,.148,22.2,1.0912,.0071,1.07,-6.43,4.461,-10640.804,6.973
86700,.938,.147,22.1,1.0913,.0071,1.07,-6.43,4.461,-10640.804,6.973
86800,.937,.147,22.1,1.0912,.0071,1.07,-6.43,4.461,-10640.804,6.973
86900,.936,.147,22.1,1.0912,.0071,1.07,-6.43,4.461,-10640.804,6.973
87e3,.935,.147,22.1,1.0911,.0071,1.07,-6.43,4.461,-10640.804,6.973
87100,.934,.147,22.1,1.0911,.0071,1.07,-6.43,4.461,-10640.804,6.973
87200,.933,.147,22.1,1.0909,.0071,1.07,-6.43,4.461,-10640.804,6.973
87300,.932,.146,22.1,1.0908,.0071,1.07,-6.43,4.461,-10640.804,6.973
87400,.931,.146,22.1,1.0907,.0071,1.07,-6.43,4.461,-10640.804,6.973
87500,.93,.146,22,1.0905,.0071,1.07,-6.43,4.461,-10640.804,6.973
87600,.932,.146,22,1.0904,.0071,1.07,-6.43,4.461,-10640.804,6.973
87700,.931,.146,22,1.0903,.0071,1.07,-6.43,4.461,-10640.804,6.973
87800,.929,.146,22,1.0903,.0071,1.07,-6.43,4.461,-10640.804,6.973
87900,.939,.147,22.2,1.0901,.0071,1.07,-6.43,4.461,-10640.804,6.973
88e3,.938,.147,22.2,1.0904,.0071,1.07,-6.43,4.461,-10640.804,6.973
88100,.937,.147,22.2,1.0906,.0071,1.07,-6.43,4.461,-10640.804,6.973
88200,.938,.146,22.2,1.0906,.0071,1.07,-6.43,4.461,-10640.804,6.973
88300,.945,.147,22.3,1.0906,.0071,1.07,-6.43,4.461,-10640.804,6.973
88400,.944,.147,22.3,1.0906,.0071,1.07,-6.43,4.461,-10640.804,6.973
88500,.943,.147,22.3,1.0905,.0071,1.07,-6.43,4.461,-10640.804,6.973
88600,.942,.147,22.3,1.0905,.0071,1.07,-6.43,4.461,-10640.804,6.973
88700,.941,.147,22.3,1.0906,.0071,1.07,-6.43,4.461,-10640.804,6.973
88800,.942,.146,22.3,1.0907,.0071,1.07,-6.43,4.461,-10640.804,6.973
88900,.941,.146,22.3,1.0908,.007,1.07,-6.43,4.461,-10640.804,6.973
89e3,.94,.146,22.2,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
89100,.939,.146,22.2,1.0908,.007,1.07,-6.43,4.461,-10640.804,6.973
89200,.938,.146,22.2,1.0908,.007,1.07,-6.43,4.461,-10640.804,6.973
89300,.939,.146,22.2,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
89400,.938,.146,22.2,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
89500,.937,.145,22.2,1.0906,.007,1.07,-6.43,4.461,-10640.804,6.973
89600,.936,.145,22.2,1.0906,.007,1.07,-6.43,4.461,-10640.804,6.973
89700,.935,.145,22.2,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
89800,.934,.145,22.2,1.0906,.007,1.07,-6.43,4.461,-10640.804,6.973
89900,.933,.145,22.1,1.0906,.007,1.07,-6.43,4.461,-10640.804,6.973
9e4,.938,.145,22.2,1.0905,.007,1.07,-6.43,4.461,-10640.804,6.973
90100,.941,.145,22.2,1.0905,.007,1.07,-6.43,4.461,-10640.804,6.973
90200,.94,.145,22.2,1.0905,.007,1.07,-6.43,4.461,-10640.804,6.973
90300,.939,.145,22.2,1.0903,.007,1.07,-6.43,4.461,-10640.804,6.973
90400,.94,.145,22.2,1.0908,.007,1.07,-6.43,4.461,-10640.804,6.973
90500,.939,.144,22.2,1.0906,.007,1.07,-6.43,4.461,-10640.804,6.973
90600,.939,.144,22.2,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
90700,.938,.144,22.1,1.0906,.007,1.07,-6.43,4.461,-10640.804,6.973
90800,.936,.144,22.1,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
90900,.939,.144,22.1,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
91e3,.938,.144,22.1,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
91100,.937,.144,22.1,1.0907,.007,1.07,-6.43,4.461,-10640.804,6.973
91200,.936,.143,22.1,1.0908,.007,1.07,-6.43,4.461,-10640.804,6.973
91300,.935,.143,22.1,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
91400,.934,.143,22.1,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
91500,.933,.143,22.1,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
91600,.932,.143,22,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
91700,.931,.143,22,1.0904,.0069,1.07,-6.43,4.461,-10640.804,6.973
91800,.93,.142,22,1.0903,.0069,1.07,-6.43,4.461,-10640.804,6.973
91900,.929,.142,22,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
92e3,.928,.142,22,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
92100,.927,.142,22,1.0907,.0069,1.07,-6.43,4.461,-10640.804,6.973
92200,.927,.142,22,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
92300,.926,.142,22,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
92400,.925,.142,21.9,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
92500,.924,.141,21.9,1.0907,.0069,1.07,-6.43,4.461,-10640.804,6.973
92600,.923,.141,21.9,1.0907,.0069,1.07,-6.43,4.461,-10640.804,6.973
92700,.924,.141,21.9,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
92800,.924,.141,21.9,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
92900,.923,.141,21.9,1.0904,.0069,1.07,-6.43,4.461,-10640.804,6.973
93e3,.922,.141,21.9,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
93100,.921,.14,21.9,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
93200,.931,.142,22.1,1.0904,.0069,1.07,-6.43,4.461,-10640.804,6.973
93300,.93,.142,22.1,1.0905,.0069,1.07,-6.43,4.461,-10640.804,6.973
93400,.929,.142,22.1,1.0907,.0069,1.07,-6.43,4.461,-10640.804,6.973
93500,.928,.141,22.1,1.0906,.0069,1.07,-6.43,4.461,-10640.804,6.973
93600,.931,.141,22.1,1.0907,.0069,1.07,-6.43,4.461,-10640.804,6.973
93700,.93,.141,22.1,1.0906,.0068,1.07,-6.43,4.461,-10640.804,6.973
93800,.932,.141,22.1,1.0906,.0068,1.07,-6.43,4.461,-10640.804,6.973
93900,.933,.141,22.1,1.0906,.0068,1.07,-6.43,4.461,-10640.804,6.973
94e3,.932,.141,22.1,1.0905,.0068,1.07,-6.43,4.461,-10640.804,6.973
94100,.931,.141,22.1,1.0904,.0068,1.07,-6.43,4.461,-10640.804,6.973
94200,.934,.141,22.1,1.0904,.0068,1.07,-6.43,4.461,-10640.804,6.973
94300,.944,.142,22.3,1.0904,.0068,1.07,-6.43,4.461,-10640.804,6.973
94400,.943,.142,22.3,1.0903,.0068,1.07,-6.43,4.461,-10640.804,6.973
94500,.944,.142,22.3,1.0904,.0068,1.07,-6.43,4.461,-10640.804,6.973
94600,.944,.142,22.3,1.0903,.0068,1.07,-6.43,4.461,-10640.804,6.973
94700,.943,.142,22.3,1.0901,.0068,1.07,-6.43,4.461,-10640.804,6.973
94800,.942,.142,22.3,1.0901,.0068,1.07,-6.43,4.461,-10640.804,6.973
94900,.941,.142,22.3,1.0903,.0068,1.07,-6.43,4.461,-10640.804,6.973
95e3,.94,.141,22.2,1.0904,.0068,1.07,-6.43,4.461,-10640.804,6.973
95100,.939,.141,22.2,1.0903,.0068,1.07,-6.43,4.461,-10640.804,6.973
95200,.939,.141,22.2,1.0904,.0068,1.07,-6.43,4.461,-10640.804,6.973
95300,.939,.141,22.2,1.0903,.0068,1.07,-6.43,4.461,-10640.804,6.973
95400,.938,.141,22.2,1.0902,.0068,1.07,-6.43,4.461,-10640.804,6.973
95500,.937,.141,22.2,1.09,.0068,1.07,-6.43,4.461,-10640.804,6.973
95600,.936,.141,22.2,1.09,.0068,1.07,-6.43,4.461,-10640.804,6.973
95700,.935,.14,22.2,1.0901,.0068,1.07,-6.43,4.461,-10640.804,6.973
95800,.938,.14,22.2,1.0903,.0068,1.07,-6.43,4.461,-10640.804,6.973
95900,.937,.14,22.2,1.0903,.0067,1.07,-6.43,4.461,-10640.804,6.973
96e3,.936,.14,22.2,1.0904,.0067,1.07,-6.43,4.461,-10640.804,6.973
96100,.939,.14,22.2,1.0905,.0067,1.07,-6.43,4.461,-10640.804,6.973
96200,.938,.14,22.2,1.0904,.0067,1.07,-6.43,4.461,-10640.804,6.973
96300,.937,.14,22.1,1.0904,.0067,1.07,-6.43,4.461,-10640.804,6.973
96400,.938,.14,22.1,1.0905,.0067,1.07,-6.43,4.461,-10640.804,6.973
96500,.937,.14,22.1,1.0906,.0067,1.07,-6.43,4.461,-10640.804,6.973
96600,.936,.139,22.1,1.0907,.0067,1.07,-6.43,4.461,-10640.804,6.973
96700,.935,.139,22.1,1.0907,.0067,1.07,-6.43,4.461,-10640.804,6.973
96800,.934,.139,22.1,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
96900,.934,.139,22.1,1.0909,.0067,1.07,-6.43,4.461,-10640.804,6.973
97e3,.933,.139,22.1,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
97100,.932,.139,22.1,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
97200,.931,.139,22,1.0907,.0067,1.07,-6.43,4.461,-10640.804,6.973
97300,.93,.138,22,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
97400,.929,.138,22,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
97500,.928,.138,22,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
97600,.927,.138,22,1.0909,.0067,1.07,-6.43,4.461,-10640.804,6.973
97700,.926,.138,22,1.0909,.0067,1.07,-6.43,4.461,-10640.804,6.973
97800,.928,.138,22,1.0909,.0067,1.07,-6.43,4.461,-10640.804,6.973
97900,.935,.138,22.1,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
98e3,.934,.138,22.1,1.0908,.0067,1.07,-6.43,4.461,-10640.804,6.973
98100,.933,.138,22.1,1.0909,.0067,1.07,-6.43,4.461,-10640.804,6.973
98200,.932,.138,22.1,1.0909,.0067,1.07,-6.43,4.461,-10640.804,6.973
98300,.931,.138,22.1,1.0913,.0067,1.07,-6.43,4.461,-10640.804,6.973
98400,.93,.138,22.1,1.0913,.0067,1.07,-6.43,4.461,-10640.804,6.973
98500,.929,.138,22,1.0912,.0067,1.07,-6.43,4.461,-10640.804,6.973
98600,.928,.137,22,1.0911,.0067,1.07,-6.43,4.461,-10640.804,6.973
98700,.927,.137,22,1.091,.0067,1.07,-6.43,4.461,-10640.804,6.973
98800,.926,.137,22,1.0912,.0067,1.07,-6.43,4.461,-10640.804,6.973
98900,.931,.137,22,1.0911,.0067,1.07,-6.43,4.461,-10640.804,6.973
99e3,.93,.137,22,1.0912,.0067,1.07,-6.43,4.461,-10640.804,6.973
99100,.939,.139,22.2,1.0911,.0067,1.07,-6.43,4.461,-10640.804,6.973
99200,.941,.139,22.3,1.0912,.0067,1.07,-6.43,4.461,-10640.804,6.973
99300,.94,.138,22.2,1.0912,.0067,1.07,-6.43,4.461,-10640.804,6.973
99400,.939,.138,22.2,1.0913,.0066,1.07,-6.43,4.461,-10640.804,6.973
99500,.938,.138,22.2,1.0913,.0066,1.07,-6.43,4.461,-10640.804,6.973
99600,.937,.138,22.2,1.0913,.0066,1.07,-6.43,4.461,-10640.804,6.973
99700,.945,.139,22.4,1.0915,.0066,1.07,-6.43,4.461,-10640.804,6.973
99800,.945,.139,22.4,1.0918,.0067,1.07,-6.43,4.461,-10640.804,6.973
99900,.955,.14,22.6,1.0918,.0066,1.07,-6.43,4.461,-10640.804,6.973
1e5,.954,.14,22.6,1.0919,.0066,1.07,-6.43,4.461,-10640.804,6.973
